question,document
"Can I do the homework or capstone project in a language other than Python, or is Python required?",ea815eb858
"If I build the project with Go or some other stack, what kind of README details do I need to add?",ea815eb858
How much explanation should I include so the reviewer can run my non-Python project without guessing?,ea815eb858
Is it allowed to submit the capstone in another language if I have a good reason for it?,ea815eb858
"What steps should I provide for a Go-based submission so it’s easy to reproduce on Windows, macOS, and Linux?",ea815eb858
Where can I see past LLM Zoomcamp capstone projects from earlier cohorts?,930286278d
Is there a page with previous project submissions for the 2024 LLM Zoomcamp?,930286278d
Do you have a link to the 2025 LLM Zoomcamp projects page?,930286278d
I want to check some old capstone repo examples before starting mine — where should I look?,930286278d
Can I browse submitted LLM Zoomcamp projects to get a sense of the expected scope?,930286278d
Do I need to reserve or announce my capstone project idea before I start it?,897a350476
Can I just start a project without posting the idea anywhere first?,897a350476
Is it okay if someone else is doing a similar capstone topic as long as my work is different?,897a350476
Where should I ask if I want feedback on my project idea before building it?,897a350476
Can I check past capstone projects to get a sense of the expected scope?,897a350476
"Am I allowed to use the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
Can I reuse the dlt workshop material for a different project outside this workshop?,d850a0e7ea
"Is it okay to apply dlt in other Zoomcamp projects, like the MLOps capstone?",d850a0e7ea
"Since dlt is open source, can I just take the workshop ideas and use them directly in my project?",d850a0e7ea
"If I have questions while using the workshop material in my own work, can I still ask about it?",d850a0e7ea
How do I initialize a new dlt project for loading files from cloud storage into DuckDB?,6bceeebf04
What command should I run first to start a filesystem-to-duckdb dlt setup?,6bceeebf04
I'm trying to create a fresh dlt pipeline from cloud files—what's the init command?,6bceeebf04
How can I bootstrap a dlt project that uses the filesystem source and DuckDB destination?,6bceeebf04
Where do I begin if I want to set up dlt for loading data from cloud storage?,6bceeebf04
"Why am I getting `FileNotFoundError: Table notion_pages___homework does not exist` when I try `db.open_table(""notion_pages___homework"")`?",0407213397
"I replaced the table name, but it still says the table doesn’t exist. What else should I check in the pipeline config?",0407213397
Could this `db.create_table(...)` error mean I missed some old name like `employee_handbook` somewhere in my setup?,0407213397
What’s the reason opening `notion_pages___homework` fails even though I changed the table name in my code?,0407213397
"In the dlt workshop, what do I need to rename so the `homework` table gets created correctly instead of the old one?",0407213397
I'm getting FileNotFoundError saying the notion_pages___homework table doesn't exist when I run main(). What should I change so it works?,e95bfafc0e
"Why do I need to open a specific table in line 3, and what should the code look like for notion_pages___homework?",e95bfafc0e
"My script fails with 'Please first call db.create_table(notion_pages___homework, data)'. Is there a table name issue in the code?",e95bfafc0e
"In the dlt workshop homework, where exactly should I point db.open_table so it stops complaining about a missing table?",e95bfafc0e
What is the correct table to open if main() errors out because notion_pages___homework can't be found?,e95bfafc0e
How can I check which tables exist in the database?,e394e6f738
Is there a way to list all table names from the db object?,e394e6f738
What method should I use to see the tables currently in the database?,e394e6f738
How do I inspect the database and find out what tables it has?,e394e6f738
"Can I get a list of table names directly from db, and if so how?",e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or is that not available yet?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
"Are there built-in dlt connectors for ClickHouse and StarRocks, or would I need to build them myself?",cd19f122f3
"If dlt doesn't connect to ClickHouse or StarRocks yet, is the project open to community contributions for those connectors?",cd19f122f3
"Where can I find ClickHouse or StarRocks support in dlt, or is it still missing from the available connectors?",cd19f122f3
"Why do I get a 401 Unauthorized when the notebook calls the Notion search endpoint, and what should I check first?",0dfba07ace
My notebook says it has no secret access to api.notion.com/v1/search — is this usually a token or permission problem?,0dfba07ace
What are the common reasons Notion API requests fail with 401 in this workshop notebook?,0dfba07ace
"How can I tell if my Notion API key is wrong, expired, or missing the right access for the notebook?",0dfba07ace
"If the notebook can’t access Notion and returns an authorization error, what settings or credentials should I verify?",0dfba07ace
"Why does pip keep giving me requests 2.28 when lancedb wants 2.32, and how do I force the right version?",4b30b918bc
How can I install requests straight from GitHub so I get v2.32.3 instead of the older release?,4b30b918bc
I’m getting a 401 Client Error while setting this up — does that mean my key is wrong or access needs to be enabled?,4b30b918bc
What’s the exact pip command to pull the fixed requests version from the source archive?,4b30b918bc
"If the normal install won’t update requests, what workaround do I use to satisfy lancedb’s version requirement?",4b30b918bc
